macro,site,foliage,micro,overlap,elevation_change,overlap_elevCorr
scrub shrub,ID,leaf-off,surface,0.7322166471262685,686,0.15939333364680408
scrub shrub,ID,leaf-off,soil,0.6346370910357364,686,0.06181377755627315
Dense coniferous,OR,leaf-on,surface,0.6534600358495705,957,0.15693651044309495
Dense coniferous,OR,leaf-on,soil,0.3844635818394972,957,-0.11205994356697833
hot desert,AZ,leaf-off,surface,0.5737331305695792,1005,0.09072395877012736
hot desert,AZ,leaf-off,soil,0.5666784362090007,1005,0.08366926440954887
Ponderosa pine,AZ_cata,leaf-on,soil,0.7399043467207878,428,0.09444138260357204
developed,CA,leaf-off,surface,0.6323600996938795,698.9,0.06316876874630373
alpine meadow,CO,leaf-off,surface,0.3875498673678619,1802,0.12893527525169918
alpine meadow,CO,leaf-off,soil,0.3969693850057539,1802,0.13835479288959118
deciduous,NC,leaf-off,surface,0.6673813625284829,1200,0.2392742522575648
deciduous,NC,leaf-off,soil,0.4473514353851455,1200,0.01924432511422737
deciduous,NC,leaf-off,canopy,0.6747802434502246,1200,0.24667313317930648
deciduous,NC,leaf-on,surface,0.3512011154809974,1200,-0.0769059947899207
deciduous,NC,leaf-on,soil,0.05800430791880398,1200,-0.3701028023521142
deciduous,NC,leaf-on,canopy,0.260463365486594,1200,-0.16764374478432412
deciduous,NH_forest,leaf-off,soil,0.5295802862887145,395,-0.12517379593333006
deciduous,NH_forest,leaf-on,soil,0.4834662713474377,395,-0.17128781087460682
meadow near forest,NH_nonforest,leaf-off,surface,0.8036611834146475,554.5,0.19381417203260887
deciduous,TN,leaf-off,surface,0.8580481581035106,704.7,0.2904898115501169
deciduous,TN,leaf-off,soil,0.8239280165289983,704.7,0.2563696699756045
deciduous,TN,leaf-on,surface,0.5552916580472245,704.7,-0.012266688506169268
deciduous,TN,leaf-on,soil,0.6315938486233963,704.7,0.06403550207000255
Ponderosa pine,NM_surface,leaf-on,surface,0.8080945855097085,530,0.19134962280741813
Ponderosa pine,NM_soil,leaf-on,soil,0.6750920197045099,348.3000000000002,0.007189597618965381
scrub shrub,PT,leaf-off,surface,0.6868240800380992,800,0.14609735637531712
scrub shrub,SE,leaf-off,soil,0.6691319517799237,400,0.015785614725277487
deciduous,CH_decid,leaf-off,surface,0.8056650054762123,717,0.24156971203461844
deciduous,CH_decid,leaf-on,surface,0.6789838441825686,717,0.11488855074097469
Dense coniferous,CH_conif,leaf-on,surface,0.6192115652566524,1393,0.24544341844730871
meadow near forest,CH_open,leaf-off,surface,0.6023133460901932,1432,0.2395256115865562
tropical broadleaf,AU,leaf-on,soil,0.2867068688557352,900,-0.22586495145908092
tropical broadleaf,AU,leaf-on,surface,0.46979896671498833,900,-0.04277285359982781
tropical broadleaf,AU,leaf-on,canopy,0.39088732304293816,900,-0.12168449727187798
tropical broadleaf,MD,leaf-on,soil,0.2080984129594736,950,-0.2903959556813595
tropical broadleaf,MD,leaf-on,surface,0.5541249772988084,950,0.05563060865797524
tropical broadleaf,MD,leaf-on,canopy,0.5042305897683109,950,0.005736221127477785
tropical broadleaf,PH,leaf-on,surface,0.40731099506412777,800,-0.13341572859865436
tropical broadleaf,PH,leaf-on,canopy,0.3593374171477092,800,-0.1813893065150729
tropical broadleaf,CR_basham,leaf-on,surface,0.01852972908451629,1986,-0.188279840871389
tropical broadleaf,CR_basham,leaf-on,soil,0.005708700047964852,1986,-0.2011008699079404
tropical broadleaf,CR_basham,leaf-on,canopy,0.04892253007744627,1986,-0.15788703987845898
developed,CR_northwest,leaf-off,surface,0.3941699633954156,1039,-0.0792665412657278
developed,CR_southwest,leaf-off,surface,0.11702311809278265,3080,0.21822819076362548
tropical broadleaf,CO_PrimaryForest_1,leaf-on,surface,0.2243534878083463,1039,-0.24908301685279707
tropical broadleaf,CO_PrimaryForest_1,leaf-on,canopy,0.3372493003495567,1039,-0.13618720431158668
tropical broadleaf,CO_PrimaryForest_2,leaf-on,soil,0.49469359918007366,1055,0.025761879054604836
tropical broadleaf,CO_OldSecondary_1,leaf-on,surface,0.32781540028006334,1042,-0.14477645728064104
tropical broadleaf,CO_OldSecondary_1,leaf-on,canopy,0.29234507333001447,1042,-0.1802467842306899
tropical broadleaf,CO_YoungSecondary_1,leaf-on,surface,0.33580562591625407,832,-0.19591152867517894
tropical broadleaf,CO_YoungSecondary_1,leaf-on,canopy,0.30087619736259436,832,-0.23084095722883866
