comparison,micro,elevation,overlap,xpoints
temp leaf vs trop leaf,soil,low,c(`Y1-Y2` = 0.708207401194903),"c(1.271, 2.361)"
temp leaf vs trop leaf,soil,high,c(`Y1-Y2` = 0.669514591087215),"c(0.9439, 2.0525)"
temp leaf vs trop leaf,surface,low,c(`Y1-Y2` = 0.709392467050758),"c(9.996, 47.735)"
temp leaf vs trop leaf,surface,high,c(`Y1-Y2` = 0.755624608784467),"c(5.6275, 23.465)"
temp leaf vs trop leaf,canopy,low,c(`Y1-Y2` = 0.535732528244709),"c(10.33, 21.125)"
temp leaf vs trop leaf,canopy,high,c(`Y1-Y2` = 0.796589788000223),"c(6.6915, 14.12)"
temp leaf vs temp no leaf,soil,low,c(`Y1-Y2` = 0.0216040142589172),"c(0.44285, 2.899)"
temp leaf vs temp no leaf,soil,high,c(`Y1-Y2` = 0.0256661005210071),"c(0.57865, 2.382)"
temp leaf vs temp no leaf,surface,low,c(`Y1-Y2` = 0.802713509500856),"c(10.595, 17.895, 25.25, 47.735)"
temp leaf vs temp no leaf,surface,high,c(`Y1-Y2` = 0.771494770924647),"c(3.5835, 8.423, 15.09, 24.13)"
temp leaf vs temp no leaf,canopy,low,c(`Y1-Y2` = 0.801954009724288),"c(8.5665, 15.02)"
temp leaf vs temp no leaf,canopy,high,c(`Y1-Y2` = 0.63798612482171),"c(5.0365, 10.77)"
temp no leaf vs trop leaf,soil,low,c(`Y1-Y2` = 0.101477684969949),"c(0.15575, 3.888)"
temp no leaf vs trop leaf,soil,high,c(`Y1-Y2` = 0.11655161405099),"c(0.25575, 3.0695, 18.665)"
temp no leaf vs trop leaf,surface,low,c(`Y1-Y2` = 0.868523200048841),"c(7.8705, 26.175)"
temp no leaf vs trop leaf,surface,high,c(`Y1-Y2` = 0.603479954455984),"c(7.215, 22.715)"
temp no leaf vs trop leaf,canopy,low,c(`Y1-Y2` = 0.518103899971712),"c(1.35, 11.525)"
temp no leaf vs trop leaf,canopy,high,c(`Y1-Y2` = 0.571150706504645),"c(9.681, 24.11)"
