site,micro,year,elevation,chi_squared,p_value,method
NC,soil,2016,low,84.31012248238204,4.2294418363013884e-20,minmax by foliage
NC,surface,2016,low,74.95593842151676,4.813372051562122e-18,minmax by foliage
NC,canopy,2016,low,14.699472352485179,1.26081735276722e-4,minmax by foliage
NC,soil,2016,high,169.72052562858926,8.515433562846106e-39,minmax by foliage
NC,surface,2016,high,84.4701711271732,3.900554368892385e-20,minmax by foliage
NC,canopy,2016,high,38.73540374570991,4.853258790290751e-10,minmax by foliage
NH,soil,2011,low,12.255578708163648,4.6386927082615523e-4,minmax by foliage
NH,soil,2012,low,39.73683498552477,2.9059281737067576e-10,minmax by foliage
NH,soil,all years,low,10.129833917426897,0.0014588855225057837,minmax by foliage
NH,soil,2011,high,18.390277198279158,1.7997398447055386e-5,minmax by foliage
NH,soil,2012,high,8.881273142945147,0.0028811056122245563,minmax by foliage
NH,soil,all years,high,99.33920704253582,2.1275416720950925e-23,minmax by foliage
