(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
12.878697214061708,-16.35602646605328,-2.382659747633665,-4.302644935124209,-7.544121086021258,7,-379.1534284339596,773.1126122636027,0,0.795385555979352
11.097837967966807,-14.795435034514824,NA,-4.468010272690328,-7.296264616416553,6,-381.6965409136857,775.9930818273714,2.8804695637686564,0.188404677867957
14.111516553425272,-18.581731818267876,-4.822394771928962,NA,-7.068221095736132,6,-384.925685900589,782.451371801178,9.338759537575243,0.00745919279828893
5.315349859836012,NA,3.8975308836412217,-4.494167086747082,-7.431671568560204,6,-385.09307855682346,782.7861571136469,9.673544850044209,0.0063094881005035
7.633373027567841,NA,NA,-4.37340945036419,-7.902165250612179,5,-387.8980736662136,786.2216792473208,13.109066983718094,0.00113234814525236
10.460560262387212,-15.452327865052695,NA,NA,-6.522881848154336,5,-387.91747934057713,786.2604905960479,13.147878332445202,0.00111058600332759
7.161013339199927,-17.053954872732792,3.004581405462239,-3.716665068143705,NA,6,-389.06218446039867,790.7243689207974,17.611756657194633,0.000119188219917354
5.497071145812812,NA,2.2715771893949146,NA,-6.902262633349892,5,-391.2239772213374,792.8734863575685,19.760874093965754,4.0696626627381e-05
9.343113570875941,-19.211226476329465,NA,-3.5708351696080918,NA,5,-391.80197572203474,794.0294833589631,20.91687109536042,2.28316265567784e-05
6.8583716192266175,NA,NA,NA,-7.180692556325148,4,-393.8573317885828,795.9963537180107,22.883741454407982,8.53957742686293e-06
8.54951195525304,-18.956215355601273,0.5814060521714802,NA,NA,5,-393.5127037256867,797.4509393662671,24.33832710266438,4.12645506581826e-06
-0.686097694641956,NA,9.542666680552934,-3.9222969046624616,NA,5,-394.37550432805136,799.1765405709964,26.063928307393667,1.74127586182825e-06
8.972440862036617,-19.35500149612171,NA,NA,NA,4,-396.1050337869581,800.4917577147612,27.37914545115848,9.02135567697311e-07
4.521533223518317,NA,NA,-3.5615603131962685,NA,4,-398.5335141048001,805.3487183504452,32.23610608684248,7.95419446120903e-08
-0.15091789036598321,NA,7.757446883980086,NA,NA,4,-399.16425524938956,806.6102006396242,33.49758837602144,4.23320017732103e-08
4.118725870607683,NA,NA,NA,NA,3,-402.76846662786363,811.7047654235595,38.59215315995675,3.31434809481749e-09
